name,email,address,password,password_confirmation
Diane,diane@email.com,123 Main Street,password,password
Kathy,kathy@email.com,456 Second Street,password,password
Will,will@email.com,941 Third Ave,password,password
Lori,lori@email.com,848 Fourth Street,password,password
Kelli,kelli@email.com,990 Ocean Drive,password,password
Brett,brett@email.com,723 Lakeside Ave,password,password
Casey,casey@email.com,497 Island Way,password,password
Cameron,cameron@email.com,224 Lincoln Drive,password,password
Colleen,colleen@email.com,855 Washington Street,password,password
Liam,liam@email.com,332 Hamilton Lane,password,password
